id,title,authors,year,venue,oa_url,include_title_abs,reason_exclude,include_fulltext,reason_exclude_ft
S1,SeBS: A Serverless Benchmark Suite,Copik P.; et al.,2021,Middleware '21,https://doi.org/10.1145/3464298.3476133,yes,,yes,
S2,Evaluating the Scalability and Elasticity of Function-as-a-Service Platform,Bartz C.; et al.,2022,ICPE '22,https://doi.org/10.1145/3489525.3511682,yes,,yes,
S3,FaaSFlow: Enable Efficient Workflow Execution for FaaS,Du X.; et al.,2022,ASPLOS '22,https://doi.org/10.1145/3503222.3507717,yes,,yes,
S4,FaaS in the Age of (sub-)µs I/O,Shillaker S.; et al.,2022,SYSTOR '22,https://doi.org/10.1145/3534056.3534938,yes,,yes,
S5,Owl: Isolation for Serverless I/O,Li D.; et al.,2022,SoCC '22,https://doi.org/10.1145/3542929.3563470,yes,,yes,
S6,Is It Time To Put Cold Starts In The Deep Freeze?,Alalwan L.; et al.,2024,SoCC '24,https://doi.org/10.1145/3698038.3698527,yes,,yes,
S7,ACPM: adaptive container provisioning model to mitigate serverless cold-start,Kumari A.; Sahoo B.,2024,Cluster Computing 27(2),https://doi.org/10.1007/s10586-023-04016-8,yes,,yes,
S8,Embedding automated function performance benchmarking… in FaaS DevOps pipelines,Katevas V.; et al.,2024,Future Generation Computer Systems 160,https://doi.org/10.1016/j.future.2024.05.051,yes,,yes,
S9,Main FaaS Providers Behavior Under High Concurrency,Rebouças de Carvalho L.; et al.,2024,SN Computer Science 5(5),https://doi.org/10.1007/s42979-024-02895-1,yes,,yes,
S10,Integrating request replication into FaaS platforms: an experimental evaluation,Bouizem Y.; et al.,2023,Journal of Cloud Computing,https://doi.org/10.1186/s13677-023-00457-z,yes,,yes,
S11,Latency and resource consumption analysis for serverless edge analytics,Moreno-Vozmediano R.; et al.,2023,Journal of Cloud Computing,https://doi.org/10.1186/s13677-023-00485-9,yes,,yes,
S12,Enriching computing simulators by generating realistic serverless traces,Sallo D.; Kecskemeti G.,2023,Journal of Cloud Computing,https://doi.org/10.1186/s13677-023-00397-8,yes,,yes,
X1,Survey on serverless computing,Hassan B. H.; et al.,2021,Journal of Cloud Computing,https://link.springer.com/article/10.1186/s13677-021-00253-7,no,"out of scope (Survey, kein Benchmark)",,
X2,Toward security quantification of serverless computing,Ni K.; et al.,2024,Journal of Cloud Computing,https://link.springer.com/article/10.1186/s13677-024-00703-y,no,"out of scope (Security-Quantifizierung, keine Performance-Benchmarks)",,
X3,Beyond Cloud: Serverless Functions in the Compute Continuum,Calavaro C.; et al.,2025,SN Computer Science,https://link.springer.com/article/10.1007/s42979-025-03699-7,no,out of scope (Vision/Survey),,
X4,Event-Driven Serverless Pipelines for Video Coding and Quality Metrics,Moina-Rivera W.; et al.,2023,Journal of Grid Computing,https://link.springer.com/article/10.1007/s10723-023-09647-0,no,out of scope (Pipeline-Case ohne vergleichende Plattform-Benchmarks),,
X5,Serverless Workflows for Containerised Applications…,Risco S.; et al.,2021,Journal of Grid Computing,https://link.springer.com/article/10.1007/s10723-021-09570-2,no,out of scope (Workflow-Architektur; begrenzte Benchmarking-Tiefe),,
DUP1,Latency and resource consumption analysis for serverless edge analytics,Moreno-Vozmediano R.; et al.,2023,Journal of Cloud Computing,duplicate,no,duplicate,,
DUP2,Enriching computing simulators by generating realistic serverless traces,Sallo D.; Kecskemeti G.,2023,Journal of Cloud Computing,duplicate,no,duplicate,,
DUP3,Integrating request replication into FaaS platforms…,Bouizem Y.; et al.,2023,Journal of Cloud Computing,duplicate,no,duplicate,,
DUP4,Self-tuning serverless task farming using proactive elasticity control,Kehrer S.; et al.,2020,Cluster Computing,duplicate,no,duplicate,,
DUP5,Serverless Workflows for Containerised Applications…,Risco S.; et al.,2021,Journal of Grid Computing,duplicate,no,duplicate,,
DUP6,Event-Driven Serverless Pipelines for Video Coding…,Moina-Rivera W.; et al.,2023,Journal of Grid Computing,duplicate,no,duplicate,,
DUP7,Toward security quantification of serverless computing,Ni K.; et al.,2024,Journal of Cloud Computing,duplicate,no,duplicate,,
DUP8,Leveraging an open source serverless framework for high energy physics computing,Padulano V. E.; et al.,2023,The Journal of Supercomputing,duplicate,no,duplicate,,
DUP9,The Impact of Encoding and Transport for Massive Real-time IoT Data…,Tusa F.; Clayman S.,2021,Journal of Grid Computing,duplicate,no,duplicate,,
