id,citation,venue,year,oa_url,category,metrics_covered,design_notes,quality_score
S1,"Copik, P., et al. (2021). SeBS: A Serverless Benchmark Suite. In Middleware '21 (pp. 64–78).",Middleware '21,2021,https://doi.org/10.1145/3464298.3476133,Benchmark-Suite,Latency (P50/P95/P99); Throughput; Cost; Cold/Warm,Multi-Provider; Micro+Macro; offene Artefakte,high
S2,"Bartz, C., et al. (2022). Evaluating the Scalability and Elasticity of FaaS Platform. In ICPE '22 (pp. 117–124).",ICPE '22,2022,https://doi.org/10.1145/3489525.3511682,Scalability/Elasticity,Tail latency; Scale-out lag; Cost,Burst vs. steady; Replikate; CI,high
S3,"Du, X., et al. (2022). FaaSFlow: enable efficient workflow execution for FaaS. In ASPLOS '22 (pp. 782–796).",ASPLOS '22,2022,https://doi.org/10.1145/3503222.3507717,Workflow/DAG,E2E latency; Tail; Cost,Orchestrierungsvarianten; Ketten,middle-high
S4,"Shillaker, S., et al. (2022). FaaS in the Age of (sub-)µs I/O. In SYSTOR '22 (pp. 13–25).",SYSTOR '22,2022,https://doi.org/10.1145/3534056.3534938,Micro/I-O,I/O latency; P99; Jitter,Microbenchmarks; Pfad-Analyse,middle-high
S5,"Li, D., et al. (2022). Owl: Isolation for Serverless I/O. In SoCC '22 (pp. 78–93).",SoCC '22,2022,https://doi.org/10.1145/3542929.3563470,System/Isolation,Latency; Overheads,Vergleichende Messungen,middle-high
S6,"Alalwan, L., et al. (2024). Is It Time To Put Cold Starts In The Deep Freeze? In SoCC '24 (pp. 259–268).",SoCC '24,2024,https://doi.org/10.1145/3698038.3698527,Cold-Start/Methods,Cold vs. warm; P95/P99; Cost,Mitigation-Designs; Protokolle,high
S7,"Kumari, A., & Sahoo, B. (2024). ACPM: adaptive container provisioning model to mitigate serverless cold-start. Cluster Computing, 27(2), 1333–1360.",Cluster Computing,2024,https://doi.org/10.1007/s10586-023-04016-8,Cold-Start/Mitigation,Cold latency; Overhead,Adaptive Provisioning,medium
S8,"Katevas, V., et al. (2024). Embedding automated function performance benchmarking… FGCS, 160, 223–237.",Future Generation Computer Systems,2024,https://doi.org/10.1016/j.future.2024.05.051,DevOps/Automation,Latency; CPU/Mem; Cost,CI-Pipeline; Kategorisierung,middle-high
S9,"Rebouças de Carvalho, L., et al. (2024). Main FaaS Providers Behavior Under High Concurrency. SN Computer Science, 5(5).",SN Computer Science,2024,https://doi.org/10.1007/s42979-024-02895-1,Concurrency/Stress,Tail latency; Scale lag,Spikes; Distributed harness,medium
S10,"Bouizem, Y., et al. (2023). Integrating request replication into FaaS platforms: an experimental evaluation. Journal of Cloud Computing.",Journal of Cloud Computing,2023,https://doi.org/10.1186/s13677-023-00457-z,Strategy/Replication,Latency; Cost,Replica-Faktoren; Trade-offs,middle-high
S11,"Moreno-Vozmediano, R., et al. (2023). Latency and resource consumption analysis for serverless edge analytics. Journal of Cloud Computing.",Journal of Cloud Computing,2023,https://doi.org/10.1186/s13677-023-00485-9,Edge/Macro,Latency; Resource use,ARM/Edge-Setups; Pipelines,medium
S12,"Sallo, D., & Kecskemeti, G. (2023). Enriching computing simulators by generating realistic serverless traces. Journal of Cloud Computing.",Journal of Cloud Computing,2023,https://doi.org/10.1186/s13677-023-00397-8,Trace/Workload,Invocation rate; Burst stats,Trace-Gen für Simulatoren,medium
